Ticker,Model,p,q,AIC,MAE,Relative MAE,alpha,beta,delta,persistence,tomorrow_volatility,converged,train size,test size,Period
MLPI,EGARCH,2,1,6606.4423192694085,0.916742276032016,0.6515204773374746,0.37704526094935953,0.9904528048008412,,0.9904528048008412,7.71245979395228,True,2154,314,2019-01-01
BWA,EGARCH,2,1,19636.11215291282,1.245524222998787,0.6885914353742344,0.21272346694913777,0.9887635765563755,,0.9887635765563755,4.786495357040798,True,4730,314,2019-01-01
FMO,EGARCH,2,1,12397.10572386348,1.4515243412370695,0.6970016036429875,0.40961881023143915,0.9899283678035735,,0.9899283678035735,14.882332449941112,True,3480,314,2019-01-01
AFH,EGARCH,2,1,5934.352849679164,3.4297684456881323,0.7122189129718899,0.3151109077512138,0.9930983064711806,,0.9930983064711806,7.261107680321,True,1433,314,2019-01-01
EXG,EGARCH,2,1,8704.64206698078,0.7402726204785885,0.713352714083784,0.36335661958740406,0.974818283627954,,0.974818283627954,5.061843848371531,True,2896,314,2019-01-01
CAH,EGARCH,2,1,17058.856048531823,1.1776518236980598,0.7145571302869655,0.20368719421984574,0.9909251735665151,,0.9909251735665151,4.0932776533423985,True,4730,314,2019-01-01
BBBY,EGARCH,2,1,19489.543399646,2.3237050236624235,0.718311773662958,0.09087068674746276,0.996397828414401,,0.996397828414401,8.451876303355304,True,4730,314,2019-01-01
SPG,EGARCH,2,1,16567.03501233239,1.0953423243995566,0.7183919274206493,0.32268106165642185,0.9934634736740091,,0.9934634736740091,8.01096728709795,True,4730,314,2019-01-01
SHLX,EGARCH,2,1,4046.1045606193243,1.312649084232531,0.7187509550084112,0.25981686781203833,0.9797838645949204,,0.9797838645949204,8.590463635992911,True,1001,314,2019-01-01
VTR,EGARCH,2,1,17846.97503412895,1.1797470548861828,0.7208847781448082,0.2556100953418989,0.9912561733966674,,0.9912561733966674,8.427260395538504,True,4730,314,2019-01-01
IAG,EGARCH,2,1,19897.180876757942,2.203013446681379,0.7248044576652861,0.11325695959604133,0.9916513735186876,,0.9916513735186876,7.381939997155353,True,3845,314,2019-01-01
AMC,EGARCH,2,1,5323.824807217787,2.0170034711394487,0.7256767464479627,0.15703948693107403,0.9848806500131175,,0.9848806500131175,8.56094578392756,True,1218,314,2019-01-01
MSGN,EGARCH,2,1,8041.6143888512615,1.2766237853868725,0.7259680922257231,0.31762735698531946,0.9102286547333379,,0.9102286547333379,3.43416487108053,True,2201,314,2019-01-01
ARLP,EGARCH,2,1,19419.850917537064,1.7441000201112955,0.7315414311779057,0.4480373904673436,0.9830296405719531,,0.9830296405719531,8.956266951236092,True,4730,314,2019-01-01
NRG,EGARCH,2,1,15406.501416626566,1.0539348488361746,0.7328311708385672,0.19242711852849237,0.9921074556946293,,0.9921074556946293,5.9104607921431,True,3747,314,2019-01-01
PACW,EGARCH,2,1,18593.84616642243,1.2482230823652962,0.7366072836303366,0.23645263759045113,0.9942442589780899,,0.9942442589780899,6.970721389765996,True,4577,314,2019-01-01
ETH,EGARCH,2,1,20856.94184639008,1.198360636792808,0.7372715479821195,0.1371399302188606,0.9960367411599879,,0.9960367411599879,4.7773264280370915,True,4730,314,2019-01-01
SYBT,EGARCH,2,1,18486.623536385712,1.0072771625118995,0.7381219697067436,0.3431245801873988,0.9828825123432257,,0.9828825123432257,5.746195786546797,True,4724,314,2019-01-01
PKG,EGARCH,2,1,18262.226184642976,1.0892186969077553,0.7417987967822885,0.24102874717451891,0.994672183382345,,0.994672183382345,4.615704316447575,True,4712,314,2019-01-01
NGS,EGARCH,2,1,19273.213957766595,1.6719912814172109,0.7434861945831983,0.321295115526728,0.9864832504265979,,0.9864832504265979,7.302960575872202,True,4027,314,2019-01-01
ABC,EGARCH,2,1,17224.472594270443,1.1943602858844808,0.7469198388953028,0.2497700503170111,0.9957433568912754,,0.9957433568912754,4.155558159417806,True,4730,314,2019-01-01
NRC,EGARCH,2,1,5916.852628227643,1.3046559952566221,0.7494135154843075,0.328546380540503,0.9831468311375295,,0.9831468311375295,5.784081919438621,True,1363,314,2019-01-01
LYG,EGARCH,2,1,17960.634258268692,1.2578520173737662,0.7523258914189982,0.16892482025510808,0.9954055231740179,,0.9954055231740179,6.519256054120781,True,4253,314,2019-01-01
PMM,EGARCH,2,1,10151.13317267827,0.5175887292535697,0.7556429981884839,0.3345716295024251,0.9825510043637395,,0.9825510043637395,3.2478749329913583,True,4730,314,2019-01-01
OMI,EGARCH,2,1,17941.397934970704,2.844184251906182,0.7561718893865301,0.307313388385948,0.9932571235608542,,0.9932571235608542,7.996844714667634,True,4730,314,2019-01-01
STLD,EGARCH,2,1,22344.6898095372,1.512019873292586,0.7591541803931798,0.11088825895718549,0.9935529598248348,,0.9935529598248348,6.7878190945791035,True,4730,314,2019-01-01
ENX,EGARCH,2,1,8875.259584575342,0.42739796827770576,0.7622445321396811,0.40753584486022987,0.9921574626355022,,0.9921574626355022,2.127256559454335,True,4065,314,2019-01-01
KF,EGARCH,2,1,17584.561820911324,0.9367295139287084,0.7669658140481803,0.10702805915729116,0.9904442129507123,,0.9904442129507123,4.946179533851509,True,4729,314,2019-01-01
WEC,EGARCH,2,1,13967.515579065719,0.8033433279048826,0.7678331699427461,0.24480065923526353,0.9842137157035141,,0.9842137157035141,4.638497077400067,True,4730,314,2019-01-01
UAL,EGARCH,2,1,16025.687084861525,1.4279911080940073,0.7683057396215527,0.17340376859889856,0.9981756026326298,,0.9981756026326298,7.396923938979612,True,3199,314,2019-01-01
EMD,EGARCH,2,1,8364.64344531435,0.6400462785742709,0.7732840200202755,0.35205126320389246,0.9778185567096987,,0.9778185567096987,4.8781300759055535,True,3745,314,2019-01-01
GABC,EGARCH,2,1,18911.207624081544,0.9609461381001099,0.7749095809997861,0.37622766436896904,0.9911357488100568,,0.9911357488100568,4.269488343880874,True,4724,314,2019-01-01
LBAI,EGARCH,2,1,20417.97420793827,1.1644803656853728,0.7759940673993305,0.36940414471062644,0.9938568031981796,,0.9938568031981796,5.60686679875788,True,4730,314,2019-01-01
NZF,EGARCH,2,1,7408.471051800754,0.4490527933668314,0.7786432073355274,0.4330776899026288,0.9779807150682648,,0.9779807150682648,3.3094851545701904,True,4292,314,2019-01-01
BRKL,EGARCH,2,1,17540.224463538274,0.9783745649998057,0.7827554585778422,0.26168921098242226,0.9946627854865372,,0.9946627854865372,3.7971128458749623,True,4730,314,2019-01-01
VEDL,EGARCH,2,1,14187.418663421202,1.7067348186921016,0.7864816182046587,0.09496090135035733,0.9899225051395906,,0.9899225051395906,6.297926871289377,True,2855,314,2019-01-01
WMB,EGARCH,2,1,20864.170685468278,1.239024750612098,0.7878323033307816,0.2128522623439154,0.9917534225186314,,0.9917534225186314,7.446048085696365,True,4730,314,2019-01-01
SUNS,EGARCH,2,1,5381.575988683997,1.0213122676883257,0.7920733355680236,0.35559299076651857,0.9819182059349383,,0.9819182059349383,9.098063309794394,True,1926,314,2019-01-01
TMST,EGARCH,2,1,5877.711195504633,2.370304086973987,0.7921377355457481,0.2277385777305114,0.987489626443026,,0.987489626443026,6.163229010373005,True,1093,314,2019-01-01
TTOO,EGARCH,2,1,5925.147585941746,4.543985761560293,0.7955663453960492,0.31443880065120894,0.8786715278177819,,0.8786715278177819,8.339517242236193,True,1059,314,2019-01-01
MUH,EGARCH,2,1,8744.830615059762,0.522969558727168,0.7968208763054535,0.397611632963133,0.9677936895793164,,0.9677936895793164,3.075457701579029,True,4730,314,2019-01-01
SAM,EGARCH,2,1,19222.720381051546,1.5739680647846646,0.8003209979221186,0.2891923952371253,0.9456494211219277,,0.9456494211219277,3.5183989874707158,True,4730,314,2019-01-01
FFIV,EGARCH,2,1,22903.36695736425,1.1618365616215263,0.8064494539386563,0.19032911064118507,0.9995195943507668,,0.9995195943507668,3.5872007969230184,True,4730,314,2019-01-01
CETX,EGARCH,2,1,4768.632925522657,4.51498378377715,0.808775864414014,0.46225863858896105,0.9592897004347434,,0.9592897004347434,5.913737409604185,True,837,314,2019-01-01
NMIH,EGARCH,2,1,5279.049548410744,1.6594976604986973,0.811532534350565,0.22636362782445074,0.9849446319264396,,0.9849446319264396,6.188615075605604,True,1245,314,2019-01-01
UFPI,EGARCH,2,1,21496.419159816876,1.4387771589482194,0.8124014597479174,0.25094603000194426,0.9950047024918388,,0.9950047024918388,5.089757169083989,True,4730,314,2019-01-01
CAKE,EGARCH,2,1,19368.46567162907,1.5233697864365228,0.8144611121764939,0.21547064734357507,0.9949188424729963,,0.9949188424729963,7.749064646782374,True,4730,314,2019-01-01
CNS,EGARCH,2,1,15335.484044461102,1.2962908004146978,0.8150669344120428,0.18405747912424728,0.9945074670895535,,0.9945074670895535,7.1681980326933745,True,3571,314,2019-01-01
ABR,EGARCH,2,1,15046.230624771622,1.2754279933297286,0.8170841639357717,0.4202240416310198,0.9978457215039798,,0.9978457215039798,10.000525482876423,True,3660,314,2019-01-01
GNW,EGARCH,2,1,17230.825539028745,1.8363010363879555,0.8321337854262753,0.30419980046300776,0.9956022148689739,,0.9956022148689739,9.931588109907993,True,3627,314,2019-01-01
PUB,EGARCH,2,1,3528.8588125459646,1.4791988365159685,0.8329058637729345,0.5234944596782298,0.9500452406063803,,0.9500452406063803,5.8566905058618675,True,918,314,2019-01-01
COLM,EGARCH,2,1,19493.35056366743,1.2139500545927624,0.8358525642254816,0.305352709951227,0.9963206030222217,,0.9963206030222217,4.109512982339363,True,4730,314,2019-01-01
FLOW,EGARCH,2,1,22529.797759690475,1.8040047022112158,0.8434108692459646,0.2575064811311413,0.9929110778416192,,0.9929110778416192,9.12017606292056,True,4322,314,2019-01-01
