Ticker,Model,p,q,AIC,MAE,Relative MAE,alpha,beta,delta,persistence,tomorrow_variance,converged,train size,test size
MLPI,EGARCH,2,1,6606.4423192694085,0.916742276032016,0.6515204773374746,0.37704526094935953,0.9904528048008412,,0.9904528048008412,59.48203607333045,True,2154,314
BWA,EGARCH,2,1,19636.11215291282,1.245524222998787,0.6885914353742344,0.21272346694913777,0.9887635765563755,,0.9887635765563755,22.910537802973117,True,4730,314
FMO,EGARCH,2,1,12397.10572386348,1.4515243412370695,0.6970016036429875,0.40961881023143915,0.9899283678035735,,0.9899283678035735,221.4838191505702,True,3480,314
AFH,EGARCH,2,1,5934.352849679164,3.4297684456881323,0.7122189129718899,0.3151109077512138,0.9930983064711806,,0.9930983064711806,52.72368474521662,True,1433,314
EXG,EGARCH,2,1,8704.64206698078,0.7402726204785885,0.713352714083784,0.36335661958740406,0.974818283627954,,0.974818283627954,25.62226314529671,True,2896,314
CAH,EGARCH,2,1,17058.856048531823,1.1776518236980598,0.7145571302869655,0.20368719421984574,0.9909251735665151,,0.9909251735665151,16.754921947352255,True,4730,314
BBBY,EGARCH,2,1,19489.543399646,2.3237050236624235,0.718311773662958,0.09087068674746276,0.996397828414401,,0.996397828414401,71.43421304721892,True,4730,314
SPG,EGARCH,2,1,16567.03501233239,1.0953423243995566,0.7183919274206493,0.32268106165642185,0.9934634736740091,,0.9934634736740091,64.17559687495348,True,4730,314
SHLX,EGARCH,2,1,4046.1045606193243,1.312649084232531,0.7187509550084112,0.25981686781203833,0.9797838645949204,,0.9797838645949204,73.79606548131656,True,1001,314
VTR,EGARCH,2,1,17846.97503412895,1.1797470548861828,0.7208847781448082,0.2556100953418989,0.9912561733966674,,0.9912561733966674,71.01871777421177,True,4730,314
IAG,EGARCH,2,1,19897.180876757942,2.203013446681379,0.7248044576652861,0.11325695959604133,0.9916513735186876,,0.9916513735186876,54.49303812160197,True,3845,314
AMC,EGARCH,2,1,5323.824807217787,2.0170034711394487,0.7256767464479627,0.15703948693107403,0.9848806500131175,,0.9848806500131175,73.28979271534705,True,1218,314
MSGN,EGARCH,2,1,8041.6143888512615,1.2766237853868725,0.7259680922257231,0.31762735698531946,0.9102286547333379,,0.9102286547333379,11.793488361763552,True,2201,314
ARLP,EGARCH,2,1,19419.850917537064,1.7441000201112955,0.7315414311779057,0.4480373904673436,0.9830296405719531,,0.9830296405719531,80.21471770180385,True,4730,314
NRG,EGARCH,2,1,15406.501416626566,1.0539348488361746,0.7328311708385672,0.19242711852849237,0.9921074556946293,,0.9921074556946293,34.93354677546084,True,3747,314
PACW,EGARCH,2,1,18593.84616642243,1.2482230823652962,0.7366072836303366,0.23645263759045113,0.9942442589780899,,0.9942442589780899,48.59095669374118,True,4577,314
ETH,EGARCH,2,1,20856.94184639008,1.198360636792808,0.7372715479821195,0.1371399302188606,0.9960367411599879,,0.9960367411599879,22.822847800021638,True,4730,314
SYBT,EGARCH,2,1,18486.623536385712,1.0072771625118995,0.7381219697067436,0.3431245801873988,0.9828825123432257,,0.9828825123432257,33.01876601732816,True,4724,314
PKG,EGARCH,2,1,18262.226184642976,1.0892186969077553,0.7417987967822885,0.24102874717451891,0.994672183382345,,0.994672183382345,21.304726336872772,True,4712,314
NGS,EGARCH,2,1,19273.213957766595,1.6719912814172109,0.7434861945831983,0.321295115526728,0.9864832504265979,,0.9864832504265979,53.33323317274365,True,4027,314
